|4|0|2|6
100004170997515|3|0|0|3
100002787401938|0|0|1|1
761397955|0|2|0|2
701674911|0|0|1|1
100022935969814|0|0|1|1
100000080847628|0|1|1|2
100007449782047|1|0|0|1
100004474950239|1|0|0|1
100000225314771|0|0|1|1
100029584981577|1|0|0|1
1402881178|0|0|1|1
100003234777004|0|0|2|2
100011565579532|7|0|2|9
100012987510044|4|1|3|8
100005305242056|0|1|0|1
100028065973801|0|0|1|1
1309686663|0|2|0|2
100011209150716|0|1|0|1
100005213169575|1|0|0|1
100015490299631|0|1|1|2
100000000723165|1|1|0|2
100010827280402|0|0|1|1
1825702993|0|1|0|1
100004592975634|0|0|1|1
100004712073502|0|1|0|1
100001891518686|0|1|0|1
100020031282469|0|0|1|1
100003887681213|1|10|1|12
100013241172077|3|1|0|4
1472023164|0|0|1|1
100000955146155|0|0|1|1
100005797533069|2|0|1|3
100035166046545|8|1|0|9
100008087024183|0|1|1|2
100001081441940|1|3|1|5
100034204908712|0|0|1|1
100002797934947|0|0|2|2
100000603592874|0|1|0|1
100004110752311|0|0|1|1
100023127300273|0|0|1|1
1394845759|1|0|0|1
100014215781192|0|0|1|1
100004719007603|0|0|1|1
100002258754276|0|0|3|3
100009406951612|0|0|1|1
100000690261932|0|1|0|1
100025022172558|0|0|2|2
100012083703230|0|0|1|1
100035363720013|0|0|1|1
100004637522640|0|0|1|1
100014019797454|0|0|1|1
1303366114|0|0|1|1
1822427243|1|0|0|1
100000156961373|7|0|1|8
100006880983530|0|1|0|1
100002211975668|0|0|1|1
100014923720563|1|0|0|1
100034789763541|3|1|1|5
100017982870913|1|0|0|1
100010623344969|0|0|1|1
100005372147124|0|0|1|1
100000531161629|0|1|0|1
100000069941240|0|0|1|1
100003538081206|0|1|0|1
778958008|0|1|0|1
100003598819759|1|0|0|1
100003255034989|0|0|1|1
100023418491047|1|0|0|1
100000349393127|0|0|1|1
100014191260455|0|0|2|2
100030336152718|0|1|0|1
100008190068223|0|0|1|1
100006681459268|1|0|1|2
100034386347186|1|0|0|1
100001583976589|0|1|1|2
100004398942179|0|0|3|3
100000092086998|0|1|0|1
100007150745027|0|1|3|4
100000832496461|1|0|0|1
100021649181206|0|1|0|1
100000475848193|0|0|1|1
100005586513121|0|2|0|2
100026290202636|0|0|1|1
1090053519|0|0|1|1
100002939798017|1|2|3|6
100001873214181|0|0|1|1
100007561998961|1|1|1|3
100003974253199|1|1|1|3
100000689616454|2|0|1|3
100014876732075|1|1|0|2
100000134646417|1|0|0|1
100003135776896|0|0|1|1
100029561414084|0|1|0|1
